,BusinessTravel,Department,EducationField,JobRole,MaritalStatus,AgeBin,AttritionCat,DistanceFromHomeBin,EducationCat,EnvironmentSatisfactionCat,GenderCat,JobInvolvementCat,JobSatisfactionCat,MonthlyIncomeBin,NumCompaniesWorkedBin,OverTimeCat,PercentSalaryHikeBin,RelationshipSatisfactionCat,StockOptionLevelCat,TotalWorkingYearsBin,TrainingTimesLastYearBin,WorkLifeBalanceCat,YearsWithCurrManagerBin
165,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,High_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Medium_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
166,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,College,Medium_Sat,Female,Medium_JobInv,Low_JobSat,medium_Inc,none_Comp,Yes_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
167,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Bachelor,Low_Sat,Female,High_JobInv,Low_JobSat,medium_Inc,many_Comp,No_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
168,Travel_Frequently,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Master,Very High_Sat,Male,High_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
169,Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Single,"[28.0, 38.0)_Age",Yes_Attr,far_Dist,Bachelor,High_Sat,Male,Low_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
170,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,Medium_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
171,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,far_Dist,Bachelor,Medium_Sat,Male,High_JobInv,High_JobSat,medium_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
172,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,Medium_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
173,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Divorced,"[18.0, 28.0)_Age",Yes_Attr,far_Dist,Bachelor,Low_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
174,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Medium_Sat,Female,High_JobInv,Very High_JobSat,medium_Inc,none_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
175,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Bachelor,Low_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,none_Comp,No_OT,high_PSH,Low_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
176,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Married,"[48.0, 58.04)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,High_JobInv,High_JobSat,medium_Inc,many_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
177,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,Very High_JobInv,Low_JobSat,low_Inc,some_Comp,Yes_OT,high_PSH,Low_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
178,Non-Travel,Research & Development,Technical Degree,Laboratory Technician,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,College,High_Sat,Female,Very High_JobInv,High_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
179,Travel_Rarely,Research & Development,Other,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Medium_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
180,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[38.0, 48.0)_Age",Yes_Attr,near_Dist,Bachelor,Medium_Sat,Female,High_JobInv,Very High_JobSat,medium_Inc,many_Comp,Yes_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
181,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Divorced,"[48.0, 58.04)_Age",No_Attr,medium_Dist,Bachelor,High_Sat,Female,High_JobInv,Medium_JobSat,medium_Inc,some_Comp,No_OT,low_PSH,High_RelSat,2_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
182,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[38.0, 48.0)_Age",No_Attr,near_Dist,College,High_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
183,Non-Travel,Research & Development,Life Sciences,Laboratory Technician,Married,"[18.0, 28.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,High_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
184,Non-Travel,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[18.0, 28.0)_Age",No_Attr,medium_Dist,College,Low_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,no_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
185,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[38.0, 48.0)_Age",Yes_Attr,near_Dist,Bachelor,Low_Sat,Male,High_JobInv,Low_JobSat,medium_Inc,many_Comp,No_OT,high_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
186,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,Very High_JobInv,Very High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Medium_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
187,Travel_Rarely,Research & Development,Other,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,High_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
188,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,"[28.0, 38.0)_Age",Yes_Attr,medium_Dist,College,Low_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
189,Travel_Rarely,Research & Development,Other,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,Very High_JobInv,Low_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
190,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,far_Dist,Below College,Medium_Sat,Female,High_JobInv,Low_JobSat,high_Inc,none_Comp,No_OT,low_PSH,Medium_RelSat,3_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
191,Travel_Frequently,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Female,High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
192,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,High_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
193,Non-Travel,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Medium_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
194,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[38.0, 48.0)_Age",No_Attr,near_Dist,College,Very High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
195,Non-Travel,Research & Development,Medical,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,low_PSH,High_RelSat,3_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
196,Travel_Rarely,Research & Development,Other,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,Medium_Sat,Female,High_JobInv,High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
197,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
198,Non-Travel,Research & Development,Medical,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,medium_Dist,College,High_Sat,Male,High_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
199,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Bachelor,High_Sat,Male,High_JobInv,High_JobSat,high_Inc,none_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
200,Travel_Rarely,Research & Development,Other,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Very High_Sat,Female,Medium_JobInv,Low_JobSat,high_Inc,none_Comp,No_OT,low_PSH,Low_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
201,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,far_Dist,Bachelor,High_Sat,Female,High_JobInv,Medium_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,High_RelSat,3_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
202,Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,far_Dist,Bachelor,Very High_Sat,Female,Very High_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
203,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Medium_Sat,Male,High_JobInv,Medium_JobSat,medium_Inc,none_Comp,No_OT,low_PSH,Medium_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
204,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[48.0, 58.04)_Age",No_Attr,near_Dist,Master,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
205,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,"[18.0, 28.0)_Age",Yes_Attr,near_Dist,Bachelor,Medium_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
206,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,none_Comp,No_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
207,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,College,High_Sat,Female,Medium_JobInv,Low_JobSat,high_Inc,many_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
208,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[18.0, 28.0)_Age",No_Attr,near_Dist,College,Low_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
209,Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Single,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Below College,High_Sat,Female,Medium_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
210,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,Medium_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Medium_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
211,Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Divorced,"[38.0, 48.0)_Age",Yes_Attr,near_Dist,Bachelor,Medium_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Low_RelSat,2_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
212,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Bachelor,Low_Sat,Male,High_JobInv,Low_JobSat,high_Inc,none_Comp,Yes_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
213,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Below College,Medium_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,no_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
214,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Below College,Very High_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,low_PSH,High_RelSat,3_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
215,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,medium_Dist,Bachelor,High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,many_Comp,Yes_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
216,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[48.0, 58.04)_Age",No_Attr,medium_Dist,Master,High_Sat,Female,Very High_JobInv,Very High_JobSat,high_Inc,none_Comp,No_OT,high_PSH,Very High_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
217,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,some_Comp,Yes_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
218,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[38.0, 48.0)_Age",No_Attr,near_Dist,College,Low_Sat,Female,Low_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
219,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
220,Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Single,"[38.0, 48.0)_Age",Yes_Attr,near_Dist,Bachelor,Low_Sat,Male,High_JobInv,Low_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
221,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[18.0, 28.0)_Age",No_Attr,near_Dist,Below College,Very High_Sat,Female,Medium_JobInv,Very High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,High_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
222,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Below College,Medium_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
223,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,Low_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Low_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
224,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,"[38.0, 48.0)_Age",Yes_Attr,far_Dist,Bachelor,Very High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
225,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Low_Sat,Male,Very High_JobInv,High_JobSat,medium_Inc,many_Comp,No_OT,low_PSH,Medium_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
226,Non-Travel,Research & Development,Technical Degree,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,near_Dist,Below College,Very High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,Medium_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,4-9 years_YWCM
227,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Low_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,no_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
228,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,High_Sat,Female,High_JobInv,Very High_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
229,Travel_Frequently,Research & Development,Life Sciences,Laboratory Technician,Married,"[28.0, 38.0)_Age",Yes_Attr,medium_Dist,College,Very High_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
230,Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,"[48.0, 58.04)_Age",Yes_Attr,near_Dist,College,Very High_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
231,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Low_Sat,Male,Medium_JobInv,Medium_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
232,Non-Travel,Research & Development,Life Sciences,Laboratory Technician,Single,"[38.0, 48.0)_Age",Yes_Attr,near_Dist,Master,Very High_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
233,Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Single,"[48.0, 58.04)_Age",No_Attr,near_Dist,College,Very High_Sat,Male,Very High_JobInv,Medium_JobSat,high_Inc,many_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
234,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Doctor,High_Sat,Male,Low_JobInv,Low_JobSat,low_Inc,none_Comp,Yes_OT,low_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
235,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Single,"[48.0, 58.04)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Female,Medium_JobInv,Low_JobSat,low_Inc,none_Comp,No_OT,high_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
236,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,Very High_Sat,Male,High_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
237,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[48.0, 58.04)_Age",No_Attr,near_Dist,College,High_Sat,Female,Medium_JobInv,Low_JobSat,medium_Inc,some_Comp,No_OT,high_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
238,Travel_Frequently,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,far_Dist,Bachelor,Medium_Sat,Female,Very High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
239,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[38.0, 48.0)_Age",Yes_Attr,near_Dist,Bachelor,Very High_Sat,Male,High_JobInv,Low_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
240,Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Low_Sat,Male,Very High_JobInv,Medium_JobSat,low_Inc,none_Comp,No_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
